country,code,dogowner,catowner
USA,USA,50%,39%
UK,GBR,27%,27%
Turkey,TUR,12%,15%
Sweden,SWE,22%,28%
Spain,ESP,37%,23%
South Korea,KOR,20%,6%
Russia,RUS,29%,57%
Poland,POL,45%,32%
Netherlands,NLD,25%,26%
Mexico,MEX,64%,24%
Japan,JPN,17%,14%
Argentina,ARG,66%,32%
Australia,AUS,39%,29%
Belgium,BEL,29%,33%
Brazil,BRA,58%,28%
Canada,CAN,33%,35%
China,CHN,25%,10%
Czech Republic,CZE,38%,26%
France,FRA,29%,41%
Germany,DEU,21%,29%
Hong Kong,HKG,14%,10%
Italy,ITA,39%,34%
